"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Number of copies","Quotes","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description","Date added"
"705990","9788501078001","Meus livros","Digo",0,,,319,1,5,,,,0,1,"","O Livro Perigoso para Garotos",,"pt","Amusements","Conn Iggulden,Hal Iggulden","","","","","",,319,"2007-01-01","hardcover",,,,,,,,,,"Equal parts droll and gorgeous nostalgia book and heartfelt plea for a renewed sense of adventure in the lives of boys and men, Conn and Hal Iggulden's The Dangerous Book for Boys became a mammoth bestseller in the United Kingdom in 2006. Adapted, in moderation, for American customs in this edition (cricket is gone, rugby remains; conkers are out, Navajo Code Talkers in), The Dangerous Book is a guide book for dads as well as their sons, as a reminder of lore and technique that have not yet been completely lost to the digital age. Recall the adventures of Scott of the Antarctic and the Battle of the Somme, relearn how to palm a coin, tan a skin, and, most charmingly, wrap a package in brown paper and string. The book's ambitions are both modest and winningly optimistic: you get the sense that by learning how to place a splint or write in invisible ink, a boy might be prepared for anything, even girls (which warrant a small but wise chapter of their own). 

Conn and Hal Iggulden are two brothers who have not forgotten what it was like to be boys. Conn taught for many years before becoming one of the most admired and popular young historical novelists with his Emperor series, based on the life of Julius Caesar, and his newly embarked series on Genghis Khan, while Hal is a theater director. We asked Conn about their collaboration.

Amazon.com: It's difficult to describe what a phenomenon The Dangerous Book for Boys was in the UK last year. When I would check the bestseller li...","2023-10-15"
"10609485","9786555606492","Meus livros","",0,,,0,0,5,,,,0,1,"","O Cálice dos Deuses (Percy Jackson e os Olimpianos, #6)","Série Percy Jackson e os olimpianos","pt br","Juvenile Fiction","Rick Riordan","","Regiane Winarski","","","","Intrínseca",272,"2023-09-26","paperback","Percy Jackson e os Olimpianos",6,,,,,"Nobel",,"2023-10-06","Percy Jackson, protagonista da série best-seller de Rick Riordan, está de volta em nova aventura hilária Após quase dez anos de espera, os fãs do semideus mais amado — e azarado — da literatura já podem comemorar: Percy Jackson está de volta! No aguardado novo título da série Percy Jackson e os olimpianos, que chega ao Brasil em lançamento simultâneo, o filho de Poseidon se prepara para uma de suas missões mais difíceis até agora: entrar na faculdade. Depois de salvar o mundo inúmeras vezes de monstros, titãs, gigantes e outras criaturas aterrorizantes, tudo que Percy deseja é que seu último ano no ensino médio seja tranquilo. Infelizmente, os deuses têm outros planos para o jovem herói. Se ele quiser mesmo entrar na universidade, terá que cumprir três missões para conquistar três cartas de recomendação vindas diretamente do Monte Olimpo. A primeira missão envolve ajudar o copeiro de Zeus a recuperar seu cálice antes que ele caia nas mãos erradas. Será que Percy, Annabeth e Grover conseguirão achar o cálice dos deuses a tempo? Unindo aventura, ação e mitologia grega a personagens apaixonantes e tramas hilárias, a série Percy Jackson e os olimpianos transformou a literatura jovem nos últimos anos e conquistou fãs no mundo inteiro. A história de Rick Riordan sobre um adolescente com TDAH que descobre ser filho do deus do mar e precisa navegar entre o mundo humano e o divino se tornou um best-seller e formou uma geração de leitores apaixonados que até hoje acompanham a saga d...","2023-10-15"
"68648","9788580573114","Meus livros","Digo",0,,,0,0,5,,,,0,1,"","A marca de Atena (Os heróis do Olimpo Livro 3)",,"pt","Juvenile Fiction","Rick Riordan","","","","","","Editora Intrinseca",480,"2013-05-03",,"Percy Jackson e os Herois do Olimpo",3,,,,,,,,"Annabeth está apavorada. Justo quando ela está prestes a reencontrar Percy — após seis meses afastados por culpa de Hera —, o Acampamento Júpiter parece estar se preparando para o combate. A bordo do Argo II com os amigos Jason, Piper e Leo, ela não pode culpar os semideuses romanos por pensarem que o navio é uma arma de guerra grega: afinal, com um dragão de bronze fumegante como figura de proa, a fantástica criação de Leo não parece mesmo nada amigável. Annabeth só pode torcer para que os romanos vejam seu pretor Jason na embarcação e compreendam que os visitantes do Acampamento Meio-Sangue estão ali em missão de paz.

Os problemas de Annabeth não param por aí — ela carrega no bolso um presente da mãe, que veio acompanhado de uma ordem intimidadora: Siga a Marca de Atena. Vingue-me. A guerreira já carrega nas costas o peso da profecia que mandará sete semideuses em busca das Portas da Morte. O que mais Atena poderia querer dela? O maior medo de Annabeth, no entanto, é que Percy tenha mudado. E se ele já estiver habituado demais aos costumes romanos? Será que ainda precisará dos velhos amigos? Como filha da deusa da guerra e da sabedoria, Annabeth sabe que nasceu para liderar — no entanto, também sabe que nunca mais vai querer viver sem o Cabeça de Alga.

Na aguardada sequência da série Os heróis do Olimpo, do best-seller Rick Riordan, Percy Jackson e seus amigos semideuses mais uma vez correm em direção ao perigo para tentar salvar seus acampamentos, os deuses e o mundo ...","2023-10-15"
"43565","9788580575965","Meus livros","Digo",0,,,0,0,,,,,0,1,"","O sangue do Olimpo (Os Heróis do Olimpo, #5)",,"pt","Juvenile Fiction","Rick Riordan","","Edmundo Barreiros","","","","Intrínseca",432,"2014-10-07","ebook","Percy Jackson e os Herois do Olimpo",5,,,,,,,,"No desfecho da série Os heróis do Olimpo, os tripulantes gregos e romanos do Argo II têm feito progresso em suas constantes missões, mas ainda não estão nem perto de vencer a sanguinária Mãe Terra, Gaia. Os gigantes estão de volta — mais fortes do que nunca —, e os semideuses precisam impedi-los antes da Festa de Spes, momento em que Gaia planeja despertar, derramando o sangue do Olimpo.

Para piorar, visões frequentes da terrível batalha no Acampamento Meio-Sangue assombram os sete semideuses. A legião romana do Acampamento Júpiter, comandada por Octavian, está se aproximando das fronteiras do acampamento grego. Por mais que seja tentador usar a Atena Partenos como arma secreta contra os gigantes, eles sabem que a estátua é necessária em Long Island, onde talvez consiga impedir uma guerra entre os acampamentos.

A Atena Partenos irá para o oeste, enquanto o Argo II segue para o leste. Os deuses, ainda sofrendo com a dupla personalidade, não podem ajudar. Como os jovens conseguirão vencer sozinhos um exército de gigantes? A viagem para Atenas é perigosa, mas não há outra opção. Eles já sacrificaram muito para chegar onde estão. E se Gaia despertar, será o fim.","2023-10-15"
"43564","9788580574203","Meus livros","Digo",0,,,0,0,,,,,0,1,"","A casa de Hades (Os heróis do Olimpo Livro 4)",,"pt","Juvenile Fiction","Rick Riordan","","","","","","Editora Intrinseca",496,"2013-10-08",,"Percy Jackson e os Herois do Olimpo",4,,,,,,,,"Hazel está diante de uma encruzilhada. As forças de Gaia estão decididas a impedi-los de avançar e alcançar seu objetivo: chegar à Casa de Hades, nas terras antigas, para resgatar Percy e Annabeth e fechar definitivamente as Portas da Morte, impedindo os monstros de retornarem ao mundo mortal. Ela e o que restou da tripulação do Argo II sabem o que precisa ser feito, mas todos os caminhos parecem levar ao fracasso de sua missão. Entretanto, eles precisam se decidir e agir rápido, pois o tempo está passando. A sanguinária Mãe Terra escolheu o dia primeiro de agosto para o seu despertar.

No Tártaro, Annabeth e Percy passam por grandes dificuldades. Famintos, com sede e feridos, mal conseguem andar pelo território sombrio e venenoso repleto de inimigos que espreitam na escuridão. Não há como descobrir onde ficam as Portas da morte. E mesmo que soubessem sua localização, uma legião formada pelos monstros mais poderosos e fiéis a Gaia estará lá para guardá-las. Nesse momento, Annabeth e Percy não estão em condições de enfrentá-los em um combate.

Apesar da enorme desvantagem, Hazel, Annabeth, Percy e os outros semideuses da profecia sabem que sua única opção é tentar o impossível. Não apenas por si mesmos, mas por todos que amam, ainda que o amor possa ser a escolha mais arriscada de todas.

“Riordan se tornou o nome da vez na literatura juvenil.” O Globo

“O amor contagiante de Rick Riordan pelo assunto é evidente.” Kirkus Reviews

 Best-seller da Veja","2023-10-15"
"30905","9788580575392","Meus livros","Digo,Yah",0,,,0,0,5,,,,0,1,"","O Ladrão de Raios (Percy Jackson e os Olimpianos, #1)",,"pt","","Rick Riordan","","","","","","Intrínseca",400,"2014-08-18","paperback","Percy Jackson e os Olimpianos",1,"lent","Nicolly","2024-02-19",,,,,"Primeiro volume da saga Percy Jackson e os olimpianos, O ladrão de raios esteve entre os primeiros lugares na lista das séries mais vendidas do The New York Times . O autor conjuga lendas da mitologia grega com aventuras no século XXI. Nelas, os deuses do Olimpo continuam vivos, ainda se apaixonam por mortais e geram filhos metade deuses, metade humanos, como os heróis da Grécia antiga. Marcados pelo destino, eles dificilmente passam da adolescência. Poucos conseguem descobrir sua identidade.

O garoto-problema Percy Jackson é um deles. Tem experiências estranhas em que deuses e monstros mitológicos parecem saltar das páginas dos livros direto para a sua vida. Pior que isso: algumas dessas criaturas estão bastante irritadas. Um artefato precioso foi roubado do Monte Olimpo e Percy é o principal suspeito. Para restaurar a paz, ele e seus amigos – jovens heróis modernos – terão de fazer mais do que capturar o verdadeiro ladrão: precisam elucidar uma traição mais ameaçadora que fúria dos deuses.","2023-10-15"
"30904","9788580575408","Meus livros","Digo,Yah",0,,,0,0,5,,,,0,1,"","O Mar de Monstros (Percy Jackson e os Olimpianos, #2)","O Mar De Monstros - Volume 2. Série Percy Jackson E Os Olimpianos (em Portuguese Do Brasil)","pt","","Rick Riordan","","","","","","Intrínseca",304,"2014-08-18","paperback","Percy Jackson e os Olimpianos",2,,,,,,,,"O Mar de Monstros é o segundo volume da série Percy Jackson e os olimpianos, best-seller do The New York Times . Nessa nova aventura, Percy e seus amigos estão em busca do Velocino de Ouro, único artefato mágico capaz de proteger da destruição seu lugar predileto e, até então, o mais seguro do mundo: o Acampamento Meio-Sangue. Com o envenenamento da árvore de Thalia por um inimigo misterioso, as fronteiras mágicas que protegem o Acampamento estão ameaçadas, e é preciso buscar o antídoto.

Assim, nossos heróis partem em uma arriscada e incrível viagem pelo Mar de Monstros, localizado nas coordenadas 30-31-75-12: uma referência ao Triângulo das Bermudas. Lá, enfrentam seres fantásticos e muitos perigos e situações inusitadas, que põem à prova seu heroísmo e sua herança – quando Percy irá questionar se ser filho de Poseidon é uma honra ou uma terrível maldição. Combinando fatos contemporâneos com mitologia, fantasia com erudição, O Mar de Monstros diverte, encanta e ensina pais e filhos.","2023-10-15"
"102990","9788580575422","Meus livros","Digo,Yah",0,,,0,0,5,,,,0,1,"","A Batalha do Labirinto (Percy Jackson e os Olimpianos, #4)","Percy Jackson E Os Olimpianos - Vol 4 (ed. Especi (em Portugues Do Brasil)","pt","","Rick Riordan","","","","","","Intrínseca",392,"2014-08-18","paperback","Percy Jackson e os Olimpianos",4,,,,,,,,"O Monte Olimpo está em perigo. Cronos, o perverso titã que foi destronado e feito em pedaços pelos doze deuses olimpianos, prepara um retorno triunfal. O primeiro passo de suas tropas será atacar e destruir o campo de treinamento dos heróis, filhos de deuses com mortais, que desde a Grécia Antiga combatem na linha de frente em defesa dos olimpianos.

Para assegurar que o refúgio de semideuses, o Acampamento Meio-Sangue, não seja invadido, Percy Jackson, Tyson, Annabeth e Grover são destacados para uma importante missão: deter as forças de Cronos antes que se aproximem do acampamento, no emaranhado de corredores do temido Labirinto de Dédalo – um interminável universo subterrâneo que, a cada curva, revela as mais aterrorizantes surpresas.","2023-10-15"
"102998","9788580575439","Meus livros","Yah,Digo",0,,,0,0,5,,,,0,1,"","O Último Olimpiano (Percy Jackson e os Olimpianos, #5)","Percy Jackson E Os Olimpianos - Vol 5 (ed. Especia (em Portugues Do Brasil)","pt","","Rick Riordan","","Raquel Zampil","","","","Intrínseca",384,"2014-08-18","paperback","Percy Jackson e os Olimpianos",5,"lent","Gabi","2024-06-23",,,,,"Os meios-sangues passaram o ano inteiro preparando-se para a batalha contra os Titãs, e sabem que as chances de vitória são pequenas. O exército de Cronos está mais poderoso que nunca, e cada novo deus ou semideus que se une à causa confere mais força ao vingativo titã.

Enquanto os Olimpianos se ocupam de conter a fúria do monstro Tifão, Cronos avança em direção à cidade de Nova York, onde o Monte Olimpo está precariamente vigiado. Agora, apenas Percy Jackson e seu exército de heróis podem deter o Senhor do Tempo.

Nesse quinto e último livro da série, o combate se acirra e o mundo que conhecemos está prestes a ser destruído. O destino da civilização está nas mãos do semideus anunciado na antiga profecia, e Percy está perto de completar dezesseis anos – a dúvida é: o herói será ou não capaz de tomar a decisão correta?","2023-10-15"
"103009","9788580575415","Meus livros","Yah,Digo",0,,,0,0,5,,,,0,1,"","A Maldição do Titã (Percy Jackson e os Olimpianos, #3)","Percy Jackson E Os Olimpianos - Vol. 3 (ed. Especi (em Portugues Do Brasil)","pt","","Rick Riordan","","","","","","Intrínseca",336,"2014-08-18","paperback","Percy Jackson e os Olimpianos",3,,,,,,,,"Um chamado do amigo Grover deixa Percy a postos para mais uma missão: dois novos meios-sangues foram encontrados, e sua ascendência ainda é desconhecida. Como sempre, Percy sabe que precisará contar com o poder de seus aliados heróis, com sua leal espada Contracorrente... e com uma caroninha da mãe. O que eles ainda não sabem é que os jovens descobertos não são os únicos em perigo: Cronos, o Senhor dos Titãs, arquitetou um de seus planos mais traiçoeiros, e nossos heróis serão presas fáceis. Um monstro ancestral foi despertado – um ser com poder suficiente para destruir o Olimpo –, e Ártemis, a única deusa capaz de encontrá-lo, desapareceu. Percy e seus amigos têm apenas uma semana para resgatar a deusa sequestrada e solucionar o mistério que ronda o monstro que ela caçava.

Divertidíssima e repleta de ação, essa terceira aventura da série coloca nosso herói e seus aliados frente a frente com o maior desafio de suas vidas: a terrível profecia da maldição do titã.","2023-10-15"
